Id,ReviewTime,ReviewPeriod,Result,WordId,ReviewTimeSpan,UpdatedWord,UpdatedMeaning
1,2015-12-23 12:34:02.853,1,1,1125,10000,det har du sagt i fem år   det har jeg da ikke,You ve been saying for five years   It is not I
2,2015-12-23 12:34:02.853,1,1,1190,10000,jeg fatter ikke  at folk kommer   hvis de vil have pølsen,    I can not believe that people come   If they want sausage     
3,2015-12-23 12:34:02.853,1,1,5437,10000,jeg vil kæmpe i arenaen  min gevinster     ingen ønsker at se dig kæmpe,    I will fight in the arena  my winnings       No one wants to see you fight  
4,2015-12-23 12:34:02.853,1,1,1145,10000,luk røven  mand   anders  slap nu af,    Close the ass  man   Anders  relax now  
5,2015-12-23 12:34:02.853,1,1,1143,10000,peter  kan du ikke lige      hold nu op med det der  mand,    Peter  you can not just      Will you stop it there  man  
7,2015-12-23 12:34:02.853,1,1,5302,10000,4 1  mod vores mand måske 5 1,  4 1 against our man  Maybe 5 1  
8,2015-12-23 12:34:02.853,1,1,4712,10000,åbn dine øjne  eller jeg tager de to du harog river dem ud af dit forpulede kranie,  Open your eyes  or I take the two you and rips them out of your fucking skull 
10,2015-12-23 12:34:02.853,1,1,5999,10000,ære og hæder det er alt hvad du holder af  er det ikke,Glory and honor  That s all you care about  is not it
11,2015-12-23 12:34:02.853,1,1,5423,10000,af de nye rekrutter er varro den eneste mand med løfte,Of the new recruits  Varro is the only man with promise
12,2015-12-23 12:34:02.853,1,1,6319,10000,af den pik sutter soloniusog hans grinende planer,By the cock sucking Solonius and his grinning plans
13,2015-12-23 12:34:02.853,1,1,1056,10000,afslog vi  så ville vi hurtigt finde os selvudelukket helt fra arenaen, refused we  so we would quickly find ourselves excluded from the very Arena
14,2015-12-23 12:34:02.853,1,1,4665,10000,agenterne er allerede blevetsendt til underverdenen,The agents have already been sent to the underworld
15,2015-12-23 12:34:02.853,1,1,4442,10000,alt vil blive afsløret når munden lukkes,  All will be revealed  when the mouth is closed  
16,2015-12-23 12:34:02.853,1,1,5092,10000,angrib med dit sind såvel som dit sværd,  Attack with your mind as well as your sword 
17,2015-12-23 12:34:02.853,1,1,4409,10000,at blive genforenet med din koneer blot en af mange belønninger,To be reunited with your wife is just one of many rewards
18,2015-12-23 12:34:02.853,1,1,5655,10000,at du sender thrakkerren væk bringer mig lindring men at du nedstiger til pittene  gør mig ikke,That you send thrakkerren away brings me relief  But you descend to pittene  makes me not
19,2015-12-23 12:34:02.853,1,1,4562,10000,at vi ville forsvinde fra minderne efterladt af historien,  that we would disappear from the memories  left by history  
20,2015-12-23 12:34:02.853,1,1,6331,10000,barca er vendt tilbage forsynet med gaver,  Barca have returned  bearing gifts  
21,2015-12-23 12:34:02.853,1,1,6472,10000,bare fordi du står ved siden af mig skal du ikke tro du er gladiator,Just because you re standing next to me  You must not believe you are a gladiator
22,2015-12-23 12:34:02.853,1,1,2466,10000,bekymret              bekymrede,  concerned               worried             
23,2015-12-23 12:34:02.853,1,1,4742,10000,beløbet er blevet spredt blandt deforskellige mæglere for at lette mistanke,  The amount has been spread among the different brokers to ease suspicion  
24,2015-12-23 12:34:02.853,1,1,1191,10000,bjarne  sådan kan manikke køre en forretning,  Bjarne  so you cannot run a business  
25,2015-12-23 12:34:02.853,1,1,1178,10000,smager,tastes  test  
26,2015-12-23 12:34:02.853,1,1,1112,10000,bliv klogere på webprojekter og  løsninger vi kloger os  maks en gang om måneden  om emner som drupal  agil udvikling og meget mere  tilmeld dig nyhedsbrevet nu  så går du ikke glip af noget,Learn more about Web projects and solutions We kloger us  max once a month  on topics such as Drupal  agile development  and much more  Subscribe to the newsletter now  so you will not miss a thing
27,2015-12-23 12:34:02.853,1,1,6096,10000,brænd dette fuckingsted til jorden,Burn this fucking place on the ground
28,2015-12-23 12:34:02.853,1,1,4529,10000,crixus er ikke glemt han vil altid have en plads,  Crixus is not forgotten  He will always have a place  
29,2015-12-23 12:34:02.853,1,1,6357,10000,crixus og jeg kæmper på tværs af formål så find en måde at forene dem på,Crixus and I fight cross purposes  So find a way to reconcile them
30,2015-12-23 12:34:02.853,1,1,6576,10000,crixus og spartacus skal kæmpemod skyggen af døden,Crixus and Spartacus must fight against shadow of death
31,2015-12-23 12:34:02.853,1,1,6081,10000,da du blev bragt hertilfor første gang  imod din vilje,  When you were brought here For the first time  against your will  
32,2015-12-23 12:34:02.853,1,1,4458,10000,de hædrer ham med mere endregn og udmærkelser,They honor him with more than rain and awards
33,2015-12-23 12:34:02.853,1,1,4436,10000,de har lige lagt tilved kysten ved neapolis,  They just put to the coast at Neapolis  
34,2015-12-23 12:34:02.853,1,1,7206,10000,de største lege siden theokolesbesejrede 100 mænd i arenaen,  The largest play since Theokoles defeated 100 men in the arena          
35,2015-12-23 12:34:02.853,1,1,7203,10000,de to er lidt adskilti disse svære tider,  The two are slightly separated in these difficult times   
36,2015-12-23 12:34:02.853,1,1,4455,10000,de velsigner ham med nyheder der løfter hjertet højere end himlen,  They bless him with news  that lifts the heart above the sky  
37,2015-12-23 12:34:02.853,1,1,5819,10000,de vil afgøre dette nag iarena,  They will settle this grudge in arena 
38,2015-12-23 12:34:02.853,1,1,5922,10000,de vil til gengæld velsigneos med endeløs regn,  They will in turn bless us with endless rain  
39,2015-12-23 12:34:02.853,1,1,1301,10000,den bliver kastet når han slipper sin,It is thrown when he releases his
40,2015-12-23 12:34:02.853,1,1,6214,10000,den eneste måde at overlevemod theokoles,  The only way to survive against Theokoles 
41,2015-12-23 12:34:02.853,1,1,1312,10000,den er god  jeg tror ikke at kødet er så lækkert,  It is good  I do not thinkthe meat is so delicious  
42,2015-12-23 12:34:02.853,1,1,1097,10000,den kan trænge gennemen hel bydel  mand, It can penetrate through a whole town  man 
43,2015-12-23 12:34:02.853,1,1,6546,10000,den måde  hans musklerfanger solen, the way his muscles catches the sun    
44,2015-12-23 12:34:02.853,1,1,4622,10000,den rationelle løsning ville være at afslutte dit usle liv før det yderligere inficerere min,The rational solution would be to end your miserable life  before it can infect additional mine
45,2015-12-23 12:34:02.853,1,1,5765,10000,den syriske købmand  somglaber solgt hende til  blev senest set nordpå,  The Syrian merchant who Glaber sold her  was last seen north  
46,2015-12-23 12:34:02.853,1,1,5234,10000,dens genopdagelse i dag gjorde mig glad det var min mors  gemt blandt hendes ting,  Its rediscovery today made me happy  It was my mother s  tucked among her things  
47,2015-12-23 12:34:02.853,1,1,6053,10000,der er intet større ting end stå tilbage som sejrsherre i arenaen,There is no greater thing  than stand back as the victor in the arena
48,2015-12-23 12:34:02.853,1,1,4220,10000,der er mange ting du ikke har overvejet,  There are many things you do not have considered  
49,2015-12-23 12:34:02.853,1,1,1146,10000,der er sgu da ingen  der rygermentolsmøger  for helvede da,  There is no damn who smokementolsmøger  Goddamn it  
50,2015-12-23 12:34:02.853,1,1,6237,10000,der forsøgte at dræbe mig  forsøgte at kneppe migsom en luder  men jeg vil ikke blive kneppet,  There was trying to kill me  tried to fuck me like a whore  But I will not be fucked  
51,2015-12-23 12:34:02.853,1,1,5906,10000,deres villa blev brændt  kun noglefå lig er endnu ikke blevet fundet,  Their villa was burned  only a few bodies have  yet been found  
52,2015-12-23 12:34:02.853,1,1,5010,10000,det er bare en tår  men du ved  tørken,  It s just a sip  but  you know  the drought     
53,2015-12-23 12:34:02.853,1,1,6400,10000,det er bedst vi ikke holde ham hans træning genoptages ved daggry,It s best we do not keep him  His training resume at dawn
54,2015-12-23 12:34:02.853,1,1,1313,10000,det er den bedste marinade jeg nogensinde har smagt,It is the best marinadeI have ever tasted
